t,count
1622111897,19
1622112797,19
1622113433,18
1622113697,18
1622114597,18
1622114797,17
1622115329,18
1622115391,19
1622115498,19
1622116342,18
1622116360,17
1622116362,16
1622116396,15
1622116398,15
1622116404,14
1622116430,13
1622116459,12
1622116543,11
1622116572,10
1622116606,9
1622116623,8
1622116634,7
1622116658,6
1622116731,5
1622116754,4
1622116771,3
1622116795,2
1622117298,1
1622118241,0
1622124030,1
1622124046,2
1622124107,3
1622124120,4
1622124130,5
1622124140,6
1622124141,6
1622124212,7
1622124222,8
1622124233,9
1622124235,10
1622124240,11
1622124253,12
1622124255,13
1622124268,14
1622124288,15
1622124315,16
1622124408,17
1622124411,18
1622124437,19
1622124441,20
1622124452,21
1622124455,22
1622124470,23
1622124472,24
1622124547,25
1622124553,26
1622124577,27
1622127715,26
1622128597,25
1622129799,24
1622130705,23
1622131021,23
1622133332,24
1622133363,25
1622133367,26
1622133506,27
1622134306,26
1622134361,25
1622134420,24
1622134422,23
1622134462,22
1622134486,21
1622134495,20
1622134525,19
1622134556,18
1622134575,17
1622134579,16
1622134587,15
1622134590,14
1622134603,13
1622134608,12
1622134611,11
1622134624,10
1622134630,9
1622134647,8
1622134669,7
1622134678,6
1622134691,5
1622134712,4
1622134729,3
1622134735,2
1622134779,1
1622134785,0
1622137992,0
1622138963,0
1622139863,0
1622140763,0
1622141663,0
1622142563,0
1622143463,0
1622144363,0
1622145263,0
1622146163,0
1622147064,0
1622147964,0
1622148864,0
1622152222,0
1622169095,0
1622190099,0
1622192378,0
1622192414,1
